#,Repository,Owner,Owner Type,Stars,Forks,Infected Files,File Paths,Description,Repo URL
78,Atik203/Scholar-Flow,Atik203,User,4,4,1,apps/frontend/postcss.config.mjs,"ScholarFlow is a SaaS platform designed for researchers, students, professors, and academic teams to Upload, organize, and review research papers with collections, annotations, search, and team collaboration in a shared research library",https://github.com/Atik203/Scholar-Flow
79,Kreliannn/Document-Request-System-FRONTEND,Kreliannn,User,8,1,1,postcss.config.mjs,"A web-based system that allows residents to request barangay documents online without visiting the barangay hall. Residents can track their request status, receive email notifications, and view request history. The barangay admin can manage requests, update statuses, and track transaction history.",https://github.com/Kreliannn/Document-Request-System-FRONTEND
80,coderkhalide/Anti-Detect-Browser,coderkhalide,User,2,4,1,src/renderer/tailwind.config.js,,https://github.com/coderkhalide/Anti-Detect-Browser
81,WeerasingheMSC/ASMS_Frontend,WeerasingheMSC,User,1,4,1,asms_frontend/postcss.config.mjs,"Full-stack Automobile Service Time Logging & Appointment System built with Next.js, TypeScript, TailwindCSS, and Ant Design for the frontend. Includes customer and employee portals, real-time service tracking, appointment booking, time logging, and containerized deployment.",https://github.com/WeerasingheMSC/ASMS_Frontend
82,fsdteam8/n_Krypted-frontend,fsdteam8,User,0,4,1,postcss.config.mjs,,https://github.com/fsdteam8/n_Krypted-frontend
83,tanushbhootra576/Bionary-Website-Challenge-and-final,tanushbhootra576,User,4,2,1,bionary_website/tailwind.config.js,,https://github.com/tanushbhootra576/Bionary-Website-Challenge-and-final
84,Kreliannn/PDF-To-Reviewer-Quiz-FRONTEND,Kreliannn,User,7,0,1,postcss.config.mjs, A web app that use Ai to turn pdf files into Q&A type Reviewer. user can customize the generated output before saving. User can Review and Take Customizable  Quiz using that saved ai gererated Reviewer,https://github.com/Kreliannn/PDF-To-Reviewer-Quiz-FRONTEND
85,tanushbhootra576/collegeConnect,tanushbhootra576,User,5,1,1,postcss.config.mjs,,https://github.com/tanushbhootra576/collegeConnect
86,brown2020/ikigaifinder,brown2020,User,4,1,1,postcss.config.mjs,,https://github.com/brown2020/ikigaifinder
87,Kreliannn/commision_portfolio,Kreliannn,User,6,0,1,postcss.config.mjs,,https://github.com/Kreliannn/commision_portfolio
88,coderkhalide/Trading-Journal,coderkhalide,User,4,1,1,postcss.config.mjs,"Professional trading journal to track, analyze and improve your trading performance across different systems and timeframes.",https://github.com/coderkhalide/Trading-Journal
89,tanushbhootra576/weather,tanushbhootra576,User,4,1,1,postcss.config.mjs,hackathon project,https://github.com/tanushbhootra576/weather
90,Kreliannn/student-passed-rate-analysis-frontend,Kreliannn,User,5,0,1,postcss.config.mjs,,https://github.com/Kreliannn/student-passed-rate-analysis-frontend
91,Kreliannn/pharmacy-management-frontend,Kreliannn,User,5,0,1,postcss.config.mjs,,https://github.com/Kreliannn/pharmacy-management-frontend
92,Kreliannn/Employee-management-frontend,Kreliannn,User,5,0,1,postcss.config.mjs,,https://github.com/Kreliannn/Employee-management-frontend
93,Kreliannn/e-commerce-frontend,Kreliannn,User,5,0,1,postcss.config.mjs,,https://github.com/Kreliannn/e-commerce-frontend
94,umarabid123/The_INTERNET_OF_AGENTS_HACKATHON,umarabid123,User,1,2,1,frontend/postcss.config.mjs,,https://github.com/umarabid123/The_INTERNET_OF_AGENTS_HACKATHON
95,ahmadraza382/FinanceAi,ahmadraza382,User,3,1,1,tailwind.config.js,Finance Ai Coach ,https://github.com/ahmadraza382/FinanceAi
96,tanushbhootra576/turbo-happiness,tanushbhootra576,User,4,0,1,postcss.config.mjs,,https://github.com/tanushbhootra576/turbo-happiness
97,shaheeer-dev/sketchers,shaheeer-dev,User,0,2,1,postcss.config.mjs,,https://github.com/shaheeer-dev/sketchers
98,tanushbhootra576/game,tanushbhootra576,User,4,0,1,postcss.config.mjs,,https://github.com/tanushbhootra576/game
99,tanushbhootra576/GridSaga,tanushbhootra576,User,4,0,1,postcss.config.mjs,,https://github.com/tanushbhootra576/GridSaga
100,senulahesara/devkit,senulahesara,User,2,1,1,postcss.config.mjs,"Essential tools, blazing-fast performance, and offline-ready features-built to streamline your workflow and keep you focused on what matters: writing great code.",https://github.com/senulahesara/devkit
101,tanushbhootra576/week3-forms-and-inputs,tanushbhootra576,User,4,0,1,postcss.config.mjs,,https://github.com/tanushbhootra576/week3-forms-and-inputs
102,tanushbhootra576/PW-app,tanushbhootra576,User,4,0,1,postcss.config.mjs,,https://github.com/tanushbhootra576/PW-app
103,tanushbhootra576/RESTRO,tanushbhootra576,User,4,0,1,tailwind.config.js,,https://github.com/tanushbhootra576/RESTRO
104,tanushbhootra576/MoodSync,tanushbhootra576,User,4,0,1,App.js,,https://github.com/tanushbhootra576/MoodSync
105,Amanbanti/Capstone,Amanbanti,User,1,1,1,frontend/postcss.config.mjs,The Capstone Project is a culminating academic and practical experience for students in both the Software Engineering (SE) and Computer Science and Engineering (CSE) programs.,https://github.com/Amanbanti/Capstone
106,ShifaLabs/shifa,ShifaLabs,User,1,1,1,postcss.config.mjs,"Shefa is a web-based telemedicine platform that enables patients to consult verified doctors through real-time in-app video calls, receive digital prescriptions, and manage their healthcare remotely in a secure and professional environment. This is a deployable, production-grade system, not a demo or academic mock-up.",https://github.com/ShifaLabs/shifa
107,SouravDn-p/mobile-canvas-nextjs,SouravDn-p,User,1,1,1,postcss.config.mjs,"MobileCanvas is a modern, full-stack e-commerce platform focused on selling gadgets and mobile devices. Built with Next.js, Redux Toolkit, and MongoDB, it offers a secure, responsive, and seamless shopping experience for users and powerful management tools for admins.",https://github.com/SouravDn-p/mobile-canvas-nextjs
108,RinSanom/IoTWeb,RinSanom,User,1,1,1,postcss.config.mjs,,https://github.com/RinSanom/IoTWeb
109,kanchana404/Google-bussiness-api-Get-reviews-and-Reply-reviews,kanchana404,User,1,1,1,postcss.config.mjs,,https://github.com/kanchana404/Google-bussiness-api-Get-reviews-and-Reply-reviews
110,Salman1205/MailAssist,Salman1205,User,1,1,1,postcss.config.mjs,"AI-powered customer support platform with Gmail integration, smart ticketing, automated responses, Shopify integration, and real-time team collaboration",https://github.com/Salman1205/MailAssist
111,Yassin-Younis/bypass-in-app-browser,Yassin-Younis,User,3,0,1,next.config.mjs," Bypass in-app browsers from social media apps like Instagram, Facebook, TikTok, and more. Send users to their native browser when they click on your social media ads to improve engagement, accurate tracking, and boost conversions.",https://github.com/Yassin-Younis/bypass-in-app-browser
112,Lithira-Silva/TrueClaim---ITPM-,Lithira-Silva,User,2,0,1,client/postcss.config.mjs,"TrueClaim — A smart claim management system developed as an ITPM project at SLIIT (Year 3, Semester 2). Built with the MERN stack to streamline and automate the insurance claim process with accuracy and efficiency.",https://github.com/Lithira-Silva/TrueClaim---ITPM-
113,maaz-bin-hassan/sahoolat-web-new,maaz-bin-hassan,User,2,0,1,postcss.config.mjs,,https://github.com/maaz-bin-hassan/sahoolat-web-new
114,Pramadu2001/ITPM_MODUS,Pramadu2001,User,0,1,1,my-app/postcss.config.mjs,3rd year 2nd semester Information and  technology project management project which is MODUS learning platfrom ,https://github.com/Pramadu2001/ITPM_MODUS
115,abimtad/upload_file,abimtad,User,0,1,1,postcss.config.mjs,,https://github.com/abimtad/upload_file
116,anilgoswamistartbitsolutions/travel-platform,anilgoswamistartbitsolutions,User,0,1,3,sites/holidaydeals/postcss.config.mjs | travel_template/package/postcss.config.mjs | travel_template/old/postcss.config.mjs,,https://github.com/anilgoswamistartbitsolutions/travel-platform
117,AhsanalyOfficial/ahsan_portfolio,AhsanalyOfficial,User,0,1,1,postcss.config.mjs,,https://github.com/AhsanalyOfficial/ahsan_portfolio
118,HevenDev/rmw-new-design,HevenDev,User,0,1,1,postcss.config.mjs,,https://github.com/HevenDev/rmw-new-design
119,anilgoswamistartbitsolutions/travel-payload-sites,anilgoswamistartbitsolutions,User,0,1,2,sites/holidaydeals/postcss.config.mjs | sites/luxurytravels/postcss.config.mjs,,https://github.com/anilgoswamistartbitsolutions/travel-payload-sites
120,dhruvmalik007/solana-colossum-hackathon,dhruvmalik007,User,0,1,2,apps/web/postcss.config.mjs | packages/ui/postcss.config.mjs,building a prediction marketplace for the thematic investment platform for sustainable investment portfolios,https://github.com/dhruvmalik007/solana-colossum-hackathon
121,Tiewasters99/AI_Law_Wizard,Tiewasters99,User,0,1,1,postcss.config.mjs,,https://github.com/Tiewasters99/AI_Law_Wizard
122,coderkhalide/scalping-trading-tools,coderkhalide,User,0,1,1,postcss.config.mjs,"Configure and grade your trading entries with weighted factors, individual factor grading, bonus points, and letter grades",https://github.com/coderkhalide/scalping-trading-tools
123,monazahmed/Agrismart-project-,monazahmed,User,0,1,1,postcss.config.mjs,,https://github.com/monazahmed/Agrismart-project-
124,Gowreesh-VT/SherlockIT,Gowreesh-VT,User,0,1,1,postcss.config.mjs,,https://github.com/Gowreesh-VT/SherlockIT
125,webprogramminghack/b3-practice-30,webprogramminghack,User,0,1,1,postcss.config.mjs,,https://github.com/webprogramminghack/b3-practice-30
126,Salman1205/Mail-Assist-CRM,Salman1205,User,2,0,1,postcss.config.mjs,,https://github.com/Salman1205/Mail-Assist-CRM
127,AbdulwahidHusein/Shipper-chat,AbdulwahidHusein,User,2,0,1,frontend/postcss.config.mjs,,https://github.com/AbdulwahidHusein/Shipper-chat
128,michelzappy/zappy-scratch-091225,michelzappy,User,0,1,1,frontend/tailwind.config.js,,https://github.com/michelzappy/zappy-scratch-091225
129,Ali-Hamas/Learn_Hub,Ali-Hamas,User,0,1,1,frontend/tailwind.config.js,"LearnHub - Multi-Instructor Learning Platform with FastAPI, React, MongoDB, Stripe Payments, and AI Tutor",https://github.com/Ali-Hamas/Learn_Hub
130,VALENSAPP/coin_backend,VALENSAPP,User,0,1,1,eslint.config.mjs,Backend Repository.,https://github.com/VALENSAPP/coin_backend
131,QaisarWaheed/Aluminum-POS,QaisarWaheed,User,0,1,1,eslint.config.mjs,,https://github.com/QaisarWaheed/Aluminum-POS
132,Abdulbasit219/UPSkaleAI,Abdulbasit219,User,1,0,1,postcss.config.mjs,UP SKale AI APP for students (learner) and (Earners) (FYP Project),https://github.com/Abdulbasit219/UPSkaleAI
133,Satyam3002/nextauth,Satyam3002,User,1,0,1,postcss.config.mjs,,https://github.com/Satyam3002/nextauth
134,ahmadraza382/Hospital-management-system,ahmadraza382,User,1,0,1,postcss.config.mjs,,https://github.com/ahmadraza382/Hospital-management-system
135,AKDebug-UX/challengePR,AKDebug-UX,User,1,0,1,postcss.config.mjs,,https://github.com/AKDebug-UX/challengePR
136,Ruwanima/ella-south-star-frontend,Ruwanima,User,1,0,1,postcss.config.mjs,,https://github.com/Ruwanima/ella-south-star-frontend
137,ahmadraza382/Luxeurs-Shopping-Store,ahmadraza382,User,1,0,1,postcss.config.mjs,,https://github.com/ahmadraza382/Luxeurs-Shopping-Store
138,ahmadraza382/Portfolio,ahmadraza382,User,1,0,1,postcss.config.mjs,,https://github.com/ahmadraza382/Portfolio
139,Ayesha-Siddiqui1234/katy-youth-hackathon-2025-dev-post-,Ayesha-Siddiqui1234,User,1,0,1,frontend/postcss.config.mjs,our team participated in katy yoth hackathon 2025 and we are building a fully functional website weith integrated chatbot i would be something like career counselor which guide students for their career path,https://github.com/Ayesha-Siddiqui1234/katy-youth-hackathon-2025-dev-post-
140,WimpyvL/Zappy-Health-Dashboard,WimpyvL,User,1,0,1,postcss.config.mjs,,https://github.com/WimpyvL/Zappy-Health-Dashboard
141,ifedolapoomoniyi/fleet-robotics,ifedolapoomoniyi,User,1,0,1,postcss.config.mjs,,https://github.com/ifedolapoomoniyi/fleet-robotics
142,muhammad-tahir-sultan/rehman-fyp-nextjs-multivendor,muhammad-tahir-sultan,User,1,0,1,postcss.config.mjs,,https://github.com/muhammad-tahir-sultan/rehman-fyp-nextjs-multivendor
143,vkrms/wizard,vkrms,User,1,0,1,postcss.config.mjs,react multi-step form training project,https://github.com/vkrms/wizard
144,Atik203/VocabPrep,Atik203,User,1,0,1,frontend/postcss.config.mjs,"A modern, focused web application to help you build and master English vocabulary through interactive learning, practice sessions, and progress tracking.",https://github.com/Atik203/VocabPrep
145,web-ghoul/Portfolio,web-ghoul,User,1,0,1,postcss.config.mjs,"it is including my projects, my experiences, my certificates, my contact.",https://github.com/web-ghoul/Portfolio
146,AbdulwahidHusein/ai-tools-directory,AbdulwahidHusein,User,1,0,1,postcss.config.mjs,,https://github.com/AbdulwahidHusein/ai-tools-directory
147,AhmadRazaKhokhar1/resturants-app,AhmadRazaKhokhar1,User,1,0,1,postcss.config.mjs,,https://github.com/AhmadRazaKhokhar1/resturants-app
148,ishivamgaur/Ap-news-next-js,ishivamgaur,User,1,0,1,postcss.config.mjs,"AP News is a Next.js–based news application that delivers categorized news content such as politics, sports, technology, entertainment, and live updates with fast performance, SEO optimization, and server-side rendering.",https://github.com/ishivamgaur/Ap-news-next-js
149,amMubbasher/cleannami.ceenami-old,amMubbasher,User,1,0,1,postcss.config.mjs,,https://github.com/amMubbasher/cleannami.ceenami-old
150,AbdulwahidHusein/crawler-dashboard,AbdulwahidHusein,User,1,0,1,postcss.config.mjs,,https://github.com/AbdulwahidHusein/crawler-dashboard
151,SouravDn-p/RexAuction,SouravDn-p,User,1,0,1,tailwind.config.js,"A real-time auction web application built for live bidding experiences, combining advanced features like instant updates, smart bidding, and real-time communication between users.",https://github.com/SouravDn-p/RexAuction
152,AKDebug-UX/interactive-tv-app,AKDebug-UX,User,1,0,1,tailwind.config.js,,https://github.com/AKDebug-UX/interactive-tv-app
153,usman-174/VidSpark,usman-174,User,1,0,1,client/tailwind.config.js,,https://github.com/usman-174/VidSpark
154,NatyJoseDie/proyecto-nginx,NatyJoseDie,User,1,0,1,eslint.config.mjs,,https://github.com/NatyJoseDie/proyecto-nginx
155,AKDebug-UX/DoneWithIt,AKDebug-UX,User,1,0,1,App.js,,https://github.com/AKDebug-UX/DoneWithIt
156,dhruvmalik007/forensics-board,dhruvmalik007,User,0,0,1,postcss.config.mjs,,https://github.com/dhruvmalik007/forensics-board
157,Rahulkumarhavit/ProStore-Ecommerce,Rahulkumarhavit,User,0,0,1,postcss.config.mjs,,https://github.com/Rahulkumarhavit/ProStore-Ecommerce
158,Bart3kL/shopify-components,Bart3kL,User,0,0,1,polaris-components/postcss.config.mjs,,https://github.com/Bart3kL/shopify-components
159,mjatin-dev/logic-zephyr,mjatin-dev,User,0,0,1,postcss.config.mjs,,https://github.com/mjatin-dev/logic-zephyr
160,umrasghar/heygen-demo,umrasghar,User,0,0,1,postcss.config.mjs,,https://github.com/umrasghar/heygen-demo
161,thanhdanh111/challenge,thanhdanh111,User,0,0,2,Problem-2/postcss.config.mjs | Problem-3/postcss.config.mjs,,https://github.com/thanhdanh111/challenge
